id,entri,entri_normal,kandidat_reduplikasi,sudah_bertagar_reduplikasi,tagar_kode
40078,umbul-umbul,umbul-umbul,R,0,
40079,umbun-umbun,umbun-umbun,R,0,
40081,umbur-umbur,umbur-umbur,R,0,
40112,uncang-uncit,uncang-uncit,R.purwa,0,
40129,unduk-unduk,unduk-unduk,R,0,
40131,undung-undung (1),undung-undung,R,0,
40134,undur-undur,undur-undur,R,0,
40135,unek-unek,unek-unek,R,0,
40136,ungah-angih,ungah-angih,R.salin,0,
40138,ungap-ungap,ungap-ungap,R,0,
40141,unggah-ungguh,unggah-ungguh,R.salin,0,
40143,unggang-anggit,unggang-anggit,R.salin,0,
40145,unggat-unggit,unggat-unggit,R.salin,0,
40159,ungkang-ungkang,ungkang-ungkang,R,0,
40160,ungkang-ungkit,ungkang-ungkit,R.purwa,0,
40219,untang-anting,untang-anting,R.salin,0,
40271,urang-aring,urang-aring,R.salin,0,
40276,uran-uran,uran-uran,R,0,
40285,ura-ura,ura-ura,R,0,
40340,user-user,user-user,R,0,
40365,utak-atik,utak-atik,R.salin,0,
40372,utar-utar,utar-utar,R,0,
40376,uter-uter,uter-uter,R,0,
40394,uwa-uwa,uwa-uwa,R,0,
40398,uyah-uyahan,uyah-uyahan,R.purwa,0,
40834,wande-wande,wande-wande,R,0,
40848,wanti-wanti,wanti-wanti,R,0,
40863,wara-wiri (1),wara-wiri,R.salin,0,
40864,wara-wiri (2),wara-wiri,R.salin,0,
40882,warna-warni,warna-warni,R.purwa,0,
40939,wau-wau,wau-wau,R,0,
41064,wira-wiri,wira-wiri,R.purwa,0,
41100,wora-wari,wora-wari,R.salin,0,
41205,yang-yang,yang-yang,R,0,
41345,Zend-Avesta,zend-avesta,R.salin,0,
41369,zig-zag,zig-zag,R.salin,0,
